CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
76001000;CALI(VALLE DEL CAUCA);;colombia;27800000;UNGUIA(CHOCO);OTROS DESTINOS;2612;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5842000;URAMITA(ANTIOQUIA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;50370000;URIBE(META);DESTINOS ESPECIALES;3683;10;DESTINOS ESPECIALES;;
76001000;CALI(VALLE DEL CAUCA);;colombia;0;URIBIA(GUAJIRA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;0;URIMACO(NORTE DE SANTANDER);OTROS DESTINOS;3233;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5847000;URRAO(ANTIOQUIA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;0;URUMITA(GUAJIRA);OTROS DESTINOS;2769;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;8849000;USIACURI(ATLANTICO);ZONAL;3837;3;ZONAL;;
76001000;CALI(VALLE DEL CAUCA);;colombia;25851000;UTICA(CUNDINAMARCA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;0;VADO REAL(SANTANDER);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5854000;VALDIVIA(ANTIOQUIA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;23855000;VALENCIA(CORDOBA);OTROS DESTINOS;2997;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;47001038;VALLE DE GAIRA(MAGDALENA);NACIONAL;2196;3;NACIONAL;;
76001000;CALI(VALLE DEL CAUCA);;colombia;68855000;VALLE DE SAN JOSE(SANTANDER);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;73854000;VALLE DE SAN JUAN(TOLIMA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;20001000;VALLEDUPAR(CESAR);ZONAL;2156;3;ZONAL;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5856000;VALPARAISO(ANTIOQUIA);OTROS DESTINOS;2612;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;18860000;VALPARAISO(CAQUETA);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5858000;VEGACHI(ANTIOQUIA);OTROS DESTINOS;2612;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;68861000;VELEZ(SANTANDER);OTROS DESTINOS;2997;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;73861000;VENADILLO(TOLIMA);OTROS DESTINOS;2051;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;5861000;VENECIA(ANTIOQUIA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
76001000;CALI(VALLE DEL CAUCA);;colombia;25506000;VENECIA(CUNDINAMARCA);ZONAL;3363;3;ZONAL;;
76001000;CALI(VALLE DEL CAUCA);;colombia;15861000;VENTAQUEMADA(BOYACA);OTROS DESTINOS;2205;8;OTROS DESTINOS;;
